2026-06-03 13:37:23 [WARNING ] UNKNOWN device — TELESCOP='FutureScopeX 9000', INSTRUMENT='', CREATOR='', dimensions=9999×9999. Check surprises.log and update DEVICE_SIGNATURES if this is a new device.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='DWARF-III-V2' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (1080×1920) as SEESTAR_S50. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Unrecognised IMAGETYP value: 'Experimental' — falling back to inference.
2026-06-03 13:37:23 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=45.0, DEC=30.0.
2026-06-03 14:10:20 [INFO    ] Found 15408 FITS file(s) under /Users/edm/Astronomy/Astrocapture/2026
2026-06-03 14:10:20 [DEBUG   ] [1/15408] bias_gain_2_bin_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:20 [DEBUG   ] [2/15408] bias_gain_2_bin_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:21 [DEBUG   ] [104/15408] Barnard 33_30s60_Duo-Band_20260324-212830303_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [105/15408] Barnard 33_30s60_Duo-Band_20260324-212900283_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [106/15408] Barnard 33_30s60_Duo-Band_20260324-213000236_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [107/15408] Barnard 33_30s60_Duo-Band_20260324-213030218_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [108/15408] Barnard 33_30s60_Duo-Band_20260324-213100209_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [109/15408] Barnard 33_30s60_Duo-Band_20260324-213130197_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [110/15408] Barnard 33_30s60_Duo-Band_20260324-213200173_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [111/15408] Barnard 33_30s60_Duo-Band_20260324-213230155_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [112/15408] Barnard 33_30s60_Duo-Band_20260324-213330106_37C.fits
2026-06-03 14:10:21 [DEBUG   ] [113/15408] Barnard 33_30s60_Duo-Band_20260324-213400088_37C.fits
2026-06-03 14:10:21 [DEBUG   ] [114/15408] Barnard 33_30s60_Duo-Band_20260324-213430087_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [115/15408] Barnard 33_30s60_Duo-Band_20260324-213500069_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [116/15408] Barnard 33_30s60_Duo-Band_20260324-213530042_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [117/15408] Barnard 33_30s60_Duo-Band_20260324-213600032_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [118/15408] Barnard 33_30s60_Duo-Band_20260324-213659975_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [119/15408] Barnard 33_30s60_Duo-Band_20260324-213729959_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [120/15408] Barnard 33_30s60_Duo-Band_20260324-213759949_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [121/15408] Barnard 33_30s60_Duo-Band_20260324-213829933_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [122/15408] Barnard 33_30s60_Duo-Band_20260324-213859915_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [123/15408] Barnard 33_30s60_Duo-Band_20260324-213929894_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [124/15408] Barnard 33_30s60_Duo-Band_20260324-214029847_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [125/15408] Barnard 33_30s60_Duo-Band_20260324-214059828_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [126/15408] Barnard 33_30s60_Duo-Band_20260324-214129820_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [127/15408] Barnard 33_30s60_Duo-Band_20260324-214159801_36C.fits
